Precision@1,Precision@3,Precision@5,Precision@10,Recall@1,Recall@3,Recall@5,Recall@10,nDCG@1,nDCG@3,nDCG@5,nDCG@10,MAP,method,model,alpha
0.6133333333333333,0.34888888888888886,0.24133333333333334,0.13033333333333333,0.44025,0.6376944444444445,0.6990277777777777,0.7366666666666667,0.6133333333333333,0.6824193527023826,0.6817059477705527,0.6778523257701378,0.6358194444444445,linear,MiniLM,0.3
0.63,0.36333333333333334,0.25,0.13033333333333333,0.46125,0.6620277777777778,0.7164166666666667,0.7366666666666667,0.63,0.7000585055773823,0.6963681755176672,0.6949764375356416,0.6610604497354498,linear,MPNet,0.3
0.6066666666666667,0.34888888888888886,0.242,0.13033333333333333,0.43580555555555556,0.6354722222222222,0.6995833333333333,0.7366666666666667,0.6066666666666667,0.6784709022916684,0.6793943743731261,0.6757299452928635,0.6324667989417989,linear,MiniLM,0.35000000000000003
0.6133333333333333,0.36333333333333334,0.24933333333333338,0.13033333333333333,0.4429166666666667,0.6620277777777779,0.71475,0.7366666666666667,0.6133333333333333,0.6988282714226205,0.6942542609927134,0.6924394509538413,0.6499718253968253,linear,MPNet,0.35000000000000003
0.6,0.34777777777777774,0.24066666666666664,0.13033333333333333,0.4313611111111111,0.6329722222222222,0.6949722222222222,0.7366666666666667,0.6,0.6745224518809542,0.6754603464449983,0.6721124968063827,0.627387037037037,linear,MiniLM,0.4
0.6033333333333334,0.3622222222222222,0.24866666666666665,0.13033333333333333,0.43513888888888885,0.6603611111111112,0.7139166666666668,0.7366666666666667,0.6033333333333334,0.6988282714226205,0.6937632324853809,0.6918023351303126,0.6450194444444445,linear,MPNet,0.4
0.5833333333333334,0.33999999999999997,0.24,0.13033333333333333,0.4180277777777778,0.6176944444444444,0.6906388888888889,0.7366666666666667,0.5833333333333334,0.6590860193690493,0.6670004810945327,0.6650222021474138,0.6160702380952381,linear,MiniLM,0.45
0.5866666666666667,0.35777777777777775,0.24666666666666667,0.13033333333333333,0.4184722222222222,0.6536944444444445,0.7094722222222223,0.7366666666666667,0.5866666666666667,0.6911891185476209,0.6878601880980049,0.6838596243683014,0.6303435185185186,linear,MPNet,0.45
0.56,0.33666666666666667,0.23733333333333329,0.13033333333333333,0.39469444444444446,0.61425,0.6853611111111112,0.7366666666666667,0.56,0.6566255510595257,0.665381562133913,0.6615358057428055,0.6009654761904761,linear,MiniLM,0.5
0.57,0.3466666666666667,0.24533333333333332,0.13033333333333333,0.40680555555555553,0.6336944444444444,0.7075277777777778,0.7366666666666667,0.57,0.6833918389107155,0.6821180134357654,0.6779271342526042,0.6189195767195768,linear,MPNet,0.5
